row_id,ICS209,sentence_summary,citation_link,platform,date,time,UNIQUE FACTS 
201,36,"Hurricane Florence threatens nearly 759,000 homes. Reconstruction for the affected homes could total $170 billion",https://twitter.com/commandomac/status/1040026282753441797,Twitter,9/12/2018,7:56:00 PM,"Hurricane Florence threatens nearly 759,000 homes. Reconstruction for the affected homes could total $170 billion"
202,36,Here's the latest on Hurricane Florence that we are tracking,https://twitter.com/WCTI_DonnieCox/status/1040026285056188418,Twitter,9/12/2018,7:56:00 PM,
203,34,Residents from the Carolinas evacuating for Hurricane Florence take refuge in Maine,https://twitter.com/CraigPBSmith/status/1040026303422849024,Twitter,9/12/2018,7:56:00 PM,Residents from the Carolinas evacuating for Hurricane Florence take refuge in Maine
204,36,Here's the latest on Hurricane Florence that we are tracking,https://twitter.com/MakeItRainShane/status/1040026321387220992/photo/1,Twitter,9/12/2018,7:56:00 PM,
193,36,"LORENCE WEAKENS SLIGHTLY AS IT CONTINUES TOWARD THE CAROLINA
COASTAL AREAS....LIFE-THREATENING STORM SURGE AND RAINFALL EXPECTED",https://twitter.com/Mars_Hill_WX/status/1040026554406002688,Twitter,9/12/2018,7:57:00 PM,
194,36,8pm Florence Advisory. WInds have decreased to 115mph. Still a major category 3 hurricane,https://twitter.com/LeeGoldbergABC7/status/1040026544490598400,Twitter,9/12/2018,7:57:00 PM,8pm Florence Advisory. WInds have decreased to 115mph. Still a major category 3 hurricane
168,34,"Verizon stands ready to support our customers, employees, and neighbors before, during, and after Hurricane #Florence. We have lifted data and text caps for those in the affected areas",https://twitter.com/hansvestberg/status/1040026930429480960,Twitter,9/12/2018,7:58:00 PM,"Verizon stands ready to support our customers, employees, and neighbors before, during, and after Hurricane #Florence. We have lifted data and text caps for those in the affected areas"
177,36,Florence as the dangerous storm approaches the Carolina coast with 115 mph winds,https://twitter.com/BuzzFeedStorm/status/1040026795938963457,Twitter,9/12/2018,7:58:00 PM,
187,34,Portsmouth-based group Mercy Chefs gears up to serve thousands of meals during Hurricane Florence,https://twitter.com/mark_urbanski/status/1040027009508728832,Twitter,9/12/2018,7:58:00 PM,Portsmouth-based group Mercy Chefs gears up to serve thousands of meals during Hurricane Florence
188,36,Here is the latest on Hurricane Florence,https://twitter.com/IdahoNews6/status/1040026922875535365,Twitter,9/12/2018,7:58:00 PM,
189,36,Florence remains a dangerous category three storm as it nears the coast. Meteorologist Amanda Holly has the latest intermediate update from the National Hurricane Center.,https://twitter.com/WBTWNews13/status/1040026914033786880,Twitter,9/12/2018,7:58:00 PM,
190,36,Florence holds as a major Category 3 hurricane at 8 p.m. No change to track or impact forecast. Center 335 miles from Wilmington,https://twitter.com/WECTWeather/status/1040026912654016512,Twitter,9/12/2018,7:58:00 PM,Center 335 miles from Wilmington
191,35,Hurricane Florence Is Hitting Tampa Florida,https://twitter.com/TFMnationchat/status/1040026895025205248,Twitter,9/12/2018,7:58:00 PM,Hurricane Florence Is Hitting Tampa Florida
192,36,Florence remains a category 3 hurricane with maximum sustained winds at 115mph. It's moving NW at 16mph,https://twitter.com/WRALAimee/status/1040026813421035520,Twitter,9/12/2018,7:58:00 PM,It's moving NW at 16mph
162,36,"8PM UPDATE: Hurricane Florence is still Cat 3 storm, but the max winds have slowed to 115mph. The track has changed little the next 36 hours, after that the movement and intensity is in question",https://twitter.com/GeoffDuncanGA/status/1040022635034365953,Twitter,9/12/2018,7:59:00 PM,
185,36,Storm of a lifetime': Hurricane Florence could be a repeat of Harvey ,https://twitter.com/vivianharris45/status/1040027172818145285,Twitter,9/12/2018,7:59:00 PM,
186,34,Hospitals prepare or evacuate for Hurricane Florence,https://twitter.com/LloydCBishop/status/1040027076114505733,Twitter,9/12/2018,7:59:00 PM,Hospitals prepare or evacuate for Hurricane Florence
184,36,WATCH LIVE: Tracking Hurricane Florence which remains a very large and dangerous storm,https://twitter.com/CBSMiami/status/1040020448422051840,Twitter,9/12/2018,8:31:00 PM,
224,36,Graphic with 5AM advice about Hurricane Florence,https://twitter.com/NHC_Atlantic/status/1040166789961920512,Twitter,9/13/2018,5:14:00 AM,
214,35,Livestream video of cost before the Category 2 storm (now known to be Hurricane Florence) hit,https://www.facebook.com/ActionNewsJacksonville/videos/2225450737686575,Facebook,9/13/2018,6:59:00 AM,LIVE look at weather conditions in North Carolina ahead of Hurricane Florence
215,36,"The Weather Channel clip of Hurrican Florence fast facts update with location, wind, pressure, and movement of the hurricane ",https://fb.watch/iW1EgkQK65/,Facebook,9/13/2018,8:37:00 AM,
223,28,Hurricane Talk 2023 Facebook Community Bulletin Post by Ron Chandler,https://www.facebook.com/groups/457040217669134/permalink/2127627890610350/,Facebook,9/13/2018,8:49:00 AM,
216,38,ABC News storm watch livestream,https://www.facebook.com/ABCNews/videos/1039077262927974,Facebook,9/13/2018,11:17:00 AM,
219,36,"Good Morning America / ABC News Hurricane Florence remains Category 2.
- Sustained winds near 105 mph.
- About 145 miles east southeast of Wilmington, NC.",https://fb.watch/iZRxP3yckj/,Facebook,9/13/2018,11:17:00 AM,Hurricane Florence remains Category 2.
220,30,Ocean over wash all the way onto route 12. Water is deep at high tide this morning. Wind is increasing storm surge is already flooding the island (Outter Banks / Cape Hatteras National Sea Shore),https://fb.watch/iZRV_4GNcr/,Facebook,9/13/2018,11:35:00 AM,Ocean over wash all the way onto route 12.
